ID,D,E,F,H,I,L,Oxygen,Nitrogen,Acid,Basic,Polar,Non_Polar,molecular_weight,aromaticity,flexibility_mean,flexibility_max,flexibility_min,gravy,secondary_structure_fraction_a,molar_extinction_coefficient_reduced_cysteines,molar_extinction_coefficient_disulfid_bridges,type
Q8TDQ0,0.03986711,0.063122924,0.03654485,0.009966777,0.066445183,0.11627907,0.455149502,0.328903654,0.102990033,0.099667774,0.504983389,0.495016611,33393.93,0.093023256,0.9954068,1.052928571,0.931833333,-0.035215947,0.332225914,41370.0,41995,Single-pass membrane protein
P13866,0.02560241,0.048192771,0.055722892,0.013554217,0.100903614,0.109939759,0.361445783,0.239457831,0.073795181,0.090361446,0.403614458,0.596385542,73497.2109,0.114457831,0.985204816,1.067595238,0.921440476,0.563253012,0.399096386,114250.0,115125,Multi-pass membrane protein
Q6J9G0,0.035545024,0.071090047,0.026066351,0.021327014,0.05450237,0.1492891,0.41943128,0.353080569,0.106635071,0.127962085,0.497630332,0.502369668,47576.2226,0.073459716,0.994765796,1.069857143,0.928535714,0.016587678,0.345971564,57870.0,58495,Single-pass membrane protein
Q9ULH0,0.057029927,0.065499718,0.029361942,0.02258611,0.057029927,0.110107284,0.508752117,0.364765669,0.122529644,0.134952005,0.565782044,0.434217956,196539.8841,0.066629023,1.003928686,1.086154762,0.92447619,-0.368944099,0.288537549,186560.0,188310,Multi-pass membrane protein
Q9NXE4,0.033487298,0.051963048,0.060046189,0.036951501,0.032332564,0.138568129,0.413394919,0.359122402,0.085450346,0.129330254,0.513856813,0.486143187,97808.7184,0.112009238,0.993792854,1.073392857,0.933,-0.07852194,0.339491917,123190.0,123940,Single-pass membrane protein
Q9NXF8,0.038961039,0.055194805,0.068181818,0.032467532,0.051948052,0.094155844,0.383116883,0.373376623,0.094155844,0.13961039,0.522727273,0.477272727,35139.7237,0.113636364,0.98856259,1.064202381,0.924821429,0.067532468,0.337662338,52940.0,53940,Multi-pass membrane protein
Q9BXB1,0.043112513,0.045215563,0.064143007,0.026288118,0.050473186,0.14721346,0.442691903,0.279705573,0.088328076,0.095688749,0.511041009,0.488958991,104473.9024,0.096740273,0.99308346,1.069071429,0.925928571,0.161198738,0.34595163,86290.0,88290,Multi-pass membrane protein
Q9H3S5,0.028368794,0.028368794,0.089834515,0.021276596,0.047281324,0.172576832,0.328605201,0.321513002,0.056737589,0.113475177,0.378250591,0.621749409,49459.167,0.186761229,0.974730216,1.055833333,0.924797619,0.566193853,0.477541371,105200.0,105825,Multi-pass membrane protein
O15126,0.038461538,0.041420118,0.088757396,0.020710059,0.041420118,0.073964497,0.414201183,0.328402367,0.079881657,0.100591716,0.5,0.5,37919.9888,0.136094675,0.99334531,1.070345238,0.920547619,-0.049408284,0.319526627,51910.0,52285,Multi-pass membrane protein
Q9NQQ7,0.024657534,0.04109589,0.084931507,0.021917808,0.043835616,0.208219178,0.339726027,0.260273973,0.065753425,0.093150685,0.375342466,0.624657534,40431.3291,0.126027397,0.98191466,1.08247619,0.930357143,0.715616438,0.44109589,50420.0,50670,Multi-pass membrane protein
P01880,0.028645833,0.067708333,0.020833333,0.026041667,0.015625,0.088541667,0.484375,0.372395833,0.096354167,0.130208333,0.622395833,0.377604167,42352.3437,0.067708333,1.005260286,1.100285714,0.931892857,-0.566145833,0.236979167,66920.0,67420,Single-pass membrane protein
Q9UKU0,0.051649928,0.058823529,0.043041607,0.022955524,0.06456241,0.100430416,0.427546628,0.345767575,0.110473458,0.133428981,0.50215208,0.49784792,77751.0546,0.088952654,0.996976831,1.077190476,0.934416667,-0.112625538,0.325681492,87780.0,88905,Single-pass membrane protein
P43681,0.049441786,0.049441786,0.036682616,0.028708134,0.059011164,0.106858054,0.411483254,0.330143541,0.098883573,0.124401914,0.537480064,0.462519936,69956.43,0.084529506,0.994724418,1.072154762,0.919440476,-0.013875598,0.328548644,100840.0,101965,Multi-pass membrane protein
O75881,0.055335968,0.063241107,0.071146245,0.019762846,0.065217391,0.144268775,0.45256917,0.335968379,0.118577075,0.144268775,0.5,0.5,58255.2444,0.118577075,0.995263007,1.067297619,0.931547619,-0.040909091,0.375494071,55810.0,56310,Multi-pass membrane protein
P06127,0.034343434,0.044444444,0.024242424,0.032323232,0.02020202,0.107070707,0.456565657,0.402020202,0.078787879,0.129292929,0.6,0.4,54577.3568,0.068686869,1.000683152,1.070714286,0.931714286,-0.440808081,0.252525253,68870.0,70370,Single-pass membrane protein
P19438,0.046153846,0.065934066,0.030769231,0.021978022,0.028571429,0.127472527,0.47032967,0.347252747,0.112087912,0.125274725,0.602197802,0.397802198,50494.3728,0.07032967,0.998875534,1.070880952,0.925214286,-0.285494505,0.276923077,46870.0,48745,Single-pass membrane protein
Q9UBV2,0.050377834,0.078085642,0.035264484,0.027707809,0.034005038,0.100755668,0.521410579,0.348866499,0.128463476,0.118387909,0.5,0.5,88753.7182,0.102015113,1.001133682,1.08372619,0.928130952,-0.429471033,0.285894207,107040.0,107540,Single-pass membrane protein
P98172,0.034682081,0.057803468,0.028901734,0.020231214,0.052023121,0.089595376,0.436416185,0.349710983,0.092485549,0.138728324,0.534682081,0.465317919,38006.1488,0.080924855,1.002562597,1.06527381,0.926428571,-0.319075145,0.286127168,42860.0,43235,Single-pass membrane protein
Q99467,0.042360061,0.045385779,0.062027231,0.04387292,0.063540091,0.175491679,0.475037821,0.328290469,0.08774584,0.107413011,0.541603631,0.458396369,74178.3802,0.084720121,0.993347721,1.058678571,0.924238095,0.062178517,0.358547655,46410.0,47535,Single-pass membrane protein
Q6ZRP7,0.055873926,0.058739255,0.041547278,0.037249284,0.02722063,0.116045845,0.418338109,0.383954155,0.114613181,0.153295129,0.512893983,0.487106017,77527.8083,0.091690544,0.998274864,1.086416667,0.928380952,-0.229799427,0.306590258,108290.0,109040,Single-pass membrane protein
Q14003,0.047556143,0.046235139,0.046235139,0.023778071,0.047556143,0.080581242,0.359313078,0.2998679,0.093791281,0.105680317,0.492734478,0.507265522,80577.08,0.089828269,0.999808553,1.070345238,0.926297619,-0.157727873,0.268163804,97290.0,98290,Multi-pass membrane protein
Q5SGD2,0.077777778,0.072222222,0.05,0.025,0.061111111,0.116666667,0.516666667,0.366666667,0.15,0.15,0.530555556,0.469444444,41052.5176,0.088888889,1.000100902,1.076892857,0.928880952,-0.275833333,0.330555556,36900.0,37150,Single-pass membrane protein
P14616,0.041634541,0.068619892,0.037779491,0.028527371,0.037008481,0.114880493,0.444101773,0.370855821,0.110254433,0.123361604,0.528912876,0.471087124,143718.4532,0.084040093,0.996258633,1.064285714,0.931607143,-0.191210486,0.301464919,173610.0,176485,Single-pass membrane protein
Q9HCL2,0.039855072,0.06884058,0.049516908,0.028985507,0.062801932,0.117149758,0.472222222,0.382850242,0.108695652,0.140096618,0.537439614,0.462560386,93793.6966,0.09057971,0.996707192,1.081214286,0.925904762,-0.137198068,0.339371981,86750.0,87875,Multi-pass membrane protein
Q9H7M9,0.038585209,0.051446945,0.032154341,0.051446945,0.035369775,0.109324759,0.430868167,0.389067524,0.090032154,0.128617363,0.546623794,0.453376206,33907.9847,0.067524116,0.996854147,1.057833333,0.928166667,-0.210610932,0.282958199,28420.0,28920,Single-pass membrane protein
Q9BSK0,0.01734104,0.011560694,0.040462428,0.034682081,0.01734104,0.173410405,0.23699422,0.36416185,0.028901734,0.121387283,0.393063584,0.606936416,18914.2598,0.104046243,0.979964503,1.044857143,0.929809524,0.431213873,0.369942197,28420.0,28795,Multi-pass membrane protein
Q8N394,0.034688995,0.049043062,0.043062201,0.027511962,0.043062201,0.145933014,0.434210526,0.340909091,0.083732057,0.129186603,0.479665072,0.520334928,94128.6256,0.113636364,0.993264366,1.071630952,0.925333333,-0.037679426,0.348086124,152070.0,152945,Multi-pass membrane protein
Q86WB7,0.019693654,0.041575492,0.056892779,0.010940919,0.043763676,0.148796499,0.400437637,0.240700219,0.061269147,0.074398249,0.422319475,0.577680525,50269.0409,0.122538293,0.985500585,1.08352381,0.933071429,0.443107221,0.393873085,76780.0,77530,Multi-pass membrane protein
Q9UJ96,0.045064378,0.057939914,0.042918455,0.015021459,0.025751073,0.14806867,0.35193133,0.450643777,0.103004292,0.150214592,0.469957082,0.530042918,51238.9918,0.072961373,0.99087892,1.067547619,0.926309524,0.088841202,0.311158798,48930.0,49930,Multi-pass membrane protein
P28223,0.042462845,0.038216561,0.053078556,0.012738854,0.072186837,0.121019108,0.458598726,0.278131635,0.080679406,0.097664544,0.507430998,0.492569002,52602.6004,0.097664544,0.992546408,1.074357143,0.921047619,0.220806794,0.360934183,59360.0,60235,Multi-pass membrane protein
P78348,0.058712121,0.079545455,0.056818182,0.028409091,0.045454545,0.098484848,0.494318182,0.339015152,0.138257576,0.136363636,0.53219697,0.46780303,59908.8258,0.107954545,0.997795165,1.069547619,0.928654762,-0.267613636,0.306818182,52260.0,53635,Multi-pass membrane protein
O95500,0.020920502,0.012552301,0.029288703,0.016736402,0.054393305,0.133891213,0.351464435,0.259414226,0.033472803,0.079497908,0.447698745,0.552301255,25698.8523,0.092050209,0.984582712,1.04972619,0.926154762,0.424267782,0.334728033,38390.0,39015,Multi-pass membrane protein
Q16821,0.059714795,0.106951872,0.032085561,0.026737968,0.05258467,0.069518717,0.647058824,0.349376114,0.166666667,0.13368984,0.652406417,0.347593583,125765.2656,0.065953654,1.012154676,1.085404762,0.925428571,-0.770855615,0.240641711,96720.0,98095,Single-pass membrane protein
P37023,0.047713718,0.057654076,0.023856859,0.03777336,0.039761431,0.121272366,0.431411531,0.419483101,0.105367793,0.145129225,0.540755467,0.459244533,56123.8675,0.065606362,0.995449079,1.06672619,0.932821429,-0.216302187,0.30417495,71390.0,72515,Single-pass membrane protein
P26010,0.050125313,0.067669173,0.028822055,0.033834586,0.026315789,0.109022556,0.469924812,0.382205514,0.117794486,0.12406015,0.581453634,0.418546366,86902.4357,0.055137845,0.997905909,1.076416667,0.93452381,-0.274561404,0.251879699,55350.0,58725,Single-pass membrane protein
Q9P2E7,0.064423077,0.070192308,0.032692308,0.017307692,0.036538462,0.090384615,0.5375,0.326923077,0.134615385,0.100961538,0.557692308,0.442307692,112934.5675,0.068269231,1.003835781,1.071904762,0.915404762,-0.355,0.276923077,67160.0,68660,Single-pass membrane protein
Q12907,0.073033708,0.04494382,0.047752809,0.033707865,0.039325843,0.103932584,0.457865169,0.396067416,0.117977528,0.143258427,0.525280899,0.474719101,40228.1911,0.109550562,0.997517154,1.071607143,0.929869048,-0.364325843,0.31741573,80900.0,81275,Single-pass membrane protein
B6A8C7,0.033210332,0.044280443,0.040590406,0.011070111,0.036900369,0.118081181,0.41697417,0.306273063,0.077490775,0.10701107,0.509225092,0.490774908,29473.5856,0.088560886,0.996485823,1.059178571,0.929238095,-0.006273063,0.324723247,35410.0,35785,Single-pass membrane protein
O95183,0.034482759,0.060344828,0.025862069,0.0,0.068965517,0.120689655,0.465517241,0.379310345,0.094827586,0.103448276,0.517241379,0.482758621,12804.6804,0.043103448,0.996914775,1.047488095,0.929571429,-0.002586207,0.327586207,6990.0,7115,Single-pass membrane protein
P53708,0.055503293,0.058325494,0.044214487,0.020696143,0.063969897,0.087488241,0.474129821,0.326434619,0.113828786,0.109125118,0.520225776,0.479774224,117472.2242,0.089369708,0.99867254,1.089797619,0.932190476,-0.168955786,0.317027281,119640.0,121015,Single-pass membrane protein
P40200,0.035897436,0.061538462,0.037606838,0.023931624,0.063247863,0.073504274,0.51965812,0.317948718,0.097435897,0.117948718,0.594871795,0.405128205,65632.7819,0.094017094,1.00067884,1.080238095,0.925535714,-0.315384615,0.305982906,101300.0,102175,Single-pass membrane protein
Q9UHE8,0.03539823,0.04719764,0.04719764,0.044247788,0.09439528,0.14159292,0.386430678,0.380530973,0.08259587,0.15339233,0.471976401,0.528023599,39850.6189,0.123893805,0.986344372,1.063928571,0.931047619,0.142182891,0.421828909,86860.0,86985,Multi-pass membrane protein
O60755,0.024456522,0.02173913,0.04076087,0.02173913,0.019021739,0.135869565,0.25,0.41576087,0.046195652,0.130434783,0.394021739,0.605978261,39572.7472,0.10326087,0.982149854,1.06127381,0.920595238,0.345108696,0.33423913,66350.0,67100,Multi-pass membrane protein
Q6PJG9,0.045669291,0.042519685,0.02519685,0.02992126,0.022047244,0.152755906,0.371653543,0.363779528,0.088188976,0.11023622,0.48976378,0.51023622,66859.4345,0.050393701,0.995653678,1.060630952,0.935880952,0.000629921,0.281889764,55920.0,56920,Single-pass membrane protein
P01909,0.039370079,0.059055118,0.043307087,0.031496063,0.051181102,0.118110236,0.448818898,0.271653543,0.098425197,0.098425197,0.5,0.5,27804.5704,0.086614173,0.994127259,1.048535714,0.938333333,0.13976378,0.358267717,32430.0,32680,Single-pass membrane protein
Q15116,0.045138889,0.048611111,0.041666667,0.010416667,0.020833333,0.079861111,0.420138889,0.392361111,0.09375,0.111111111,0.559027778,0.440972222,31646.5344,0.086805556,1.000525772,1.068833333,0.925821429,-0.328125,0.274305556,55460.0,55835,Single-pass membrane protein
P58743,0.038978495,0.052419355,0.056451613,0.01344086,0.072580645,0.108870968,0.407258065,0.24327957,0.091397849,0.095430108,0.439516129,0.560483871,81262.7411,0.099462366,0.99189493,1.076345238,0.933952381,0.334543011,0.376344086,63720.0,64220,Multi-pass membrane protein
Q9HBW9,0.030434783,0.044927536,0.066666667,0.026086957,0.07826087,0.1,0.453623188,0.311594203,0.075362319,0.105797101,0.514492754,0.485507246,77809.9364,0.12173913,0.987948325,1.068285714,0.914940476,0.175942029,0.366666667,88700.0,90700,Multi-pass membrane protein
P34925,0.05107084,0.05601318,0.032948929,0.02306425,0.052718287,0.123558484,0.444810544,0.354200988,0.10708402,0.128500824,0.523887974,0.476112026,67813.8716,0.070840198,0.996354933,1.085321429,0.926571429,-0.051400329,0.321252059,58330.0,59205,Single-pass membrane protein
O43291,0.047619048,0.051587302,0.03968254,0.007936508,0.015873016,0.103174603,0.46031746,0.428571429,0.099206349,0.130952381,0.535714286,0.464285714,28227.8801,0.095238095,0.996135166,1.066630952,0.930690476,-0.246031746,0.293650794,36900.0,37650,Single-pass membrane protein
Q58HT5,0.024390244,0.033536585,0.085365854,0.045731707,0.039634146,0.12195122,0.359756098,0.344512195,0.057926829,0.131097561,0.478658537,0.521341463,37758.5978,0.158536585,0.985695066,1.059345238,0.918630952,0.097256098,0.387195122,71850.0,72350,Multi-pass membrane protein
Q969L2,0.028409091,0.011363636,0.102272727,0.017045455,0.039772727,0.130681818,0.306818182,0.210227273,0.039772727,0.045454545,0.386363636,0.613636364,19125.1156,0.153409091,0.978940191,1.038440476,0.92852381,0.727840909,0.403409091,29450.0,29700,Multi-pass membrane protein
Q96HD1,0.038095238,0.095238095,0.04047619,0.019047619,0.028571429,0.083333333,0.454761905,0.280952381,0.133333333,0.1,0.557142857,0.442857143,45439.1639,0.083333333,0.999935523,1.06975,0.930035714,-0.262380952,0.238095238,62910.0,65285,Multi-pass membrane protein
O75185,0.043340381,0.071881607,0.042283298,0.006342495,0.063424947,0.121564482,0.44397463,0.26744186,0.115221987,0.109936575,0.485200846,0.514799154,103168.2441,0.063424947,0.998213002,1.071511905,0.92997619,0.161733615,0.335095137,53860.0,55110,Multi-pass membrane protein
Q3KNS1,0.049266247,0.046121593,0.07442348,0.019916143,0.070230608,0.101677149,0.431865828,0.28721174,0.095387841,0.103773585,0.483228512,0.516771488,107687.3151,0.132075472,0.991211829,1.076083333,0.927309524,0.148113208,0.376310273,138090.0,139465,Multi-pass membrane protein
Q9Y231,0.038997214,0.055710306,0.064066852,0.036211699,0.061281337,0.08913649,0.490250696,0.362116992,0.094707521,0.133704735,0.554317549,0.445682451,42070.578,0.150417827,0.994273129,1.059797619,0.923357143,-0.286072423,0.362116992,94310.0,94810,Single-pass membrane protein
O60503,0.047302291,0.059866962,0.050258684,0.028085735,0.044345898,0.105691057,0.461936438,0.346637103,0.107169254,0.133776792,0.530672579,0.469327421,150699.057,0.090909091,0.997278469,1.083892857,0.920357143,-0.128085735,0.314855876,142100.0,144475,Multi-pass membrane protein
O00206,0.039332539,0.059594756,0.069129917,0.027413588,0.052443385,0.154946365,0.483909416,0.337306317,0.098927294,0.108462455,0.52205006,0.47794994,95679.0011,0.108462455,0.993113626,1.062535714,0.924833333,0.032777116,0.375446961,89270.0,90520,Single-pass membrane protein
O14925,0.028708134,0.033492823,0.038277512,0.009569378,0.028708134,0.133971292,0.377990431,0.282296651,0.062200957,0.086124402,0.411483254,0.588516746,21942.9152,0.086124402,0.994640536,1.05347619,0.94402381,0.034449761,0.282296651,26930.0,27055,Multi-pass membrane protein
Q8IZV2,0.01734104,0.040462428,0.10982659,0.011560694,0.057803468,0.075144509,0.416184971,0.260115607,0.057803468,0.063583815,0.421965318,0.578034682,19572.2084,0.190751445,0.977359103,1.048,0.92622619,0.549710983,0.421965318,44920.0,45045,Multi-pass membrane protein
Q9H3T3,0.047297297,0.042792793,0.039414414,0.027027027,0.016891892,0.106981982,0.376126126,0.385135135,0.09009009,0.129504505,0.52027027,0.47972973,95283.4185,0.072072072,0.998678558,1.065190476,0.937333333,-0.208896396,0.274774775,91330.0,92455,Single-pass membrane protein
P08637,0.059055118,0.039370079,0.05511811,0.031496063,0.035433071,0.11023622,0.488188976,0.362204724,0.098425197,0.137795276,0.551181102,0.448818898,29088.7704,0.125984252,0.995930564,1.057416667,0.928678571,-0.282283465,0.342519685,58900.0,59150,Single-pass membrane protein
Q9UHQ4,0.033195021,0.091286307,0.053941909,0.01659751,0.058091286,0.136929461,0.481327801,0.43153527,0.124481328,0.186721992,0.547717842,0.452282158,28319.7485,0.095435685,1.002675082,1.072892857,0.928809524,-0.357676349,0.340248963,34950.0,35075,Multi-pass membrane protein
Q7Z7N9,0.01369863,0.03652968,0.03652968,0.01369863,0.050228311,0.155251142,0.360730594,0.273972603,0.050228311,0.073059361,0.438356164,0.561643836,23550.1338,0.095890411,0.984043197,1.056571429,0.923452381,0.583561644,0.369863014,47440.0,47940,Multi-pass membrane protein
Q9H6X4,0.046153846,0.056410256,0.076923077,0.020512821,0.041025641,0.102564103,0.456410256,0.353846154,0.102564103,0.112820513,0.512820513,0.487179487,21586.1073,0.117948718,0.996572325,1.061857143,0.925738095,-0.112820513,0.333333333,19940.0,20065,Multi-pass membrane protein
P50281,0.053264605,0.065292096,0.063573883,0.020618557,0.0395189,0.075601375,0.443298969,0.383161512,0.118556701,0.140893471,0.512027491,0.487972509,65893.1257,0.128865979,1.001046123,1.075321429,0.935142857,-0.465120275,0.297250859,108750.0,109125,Single-pass membrane protein
Q8N2K0,0.055276382,0.050251256,0.050251256,0.040201005,0.055276382,0.100502513,0.40201005,0.41959799,0.105527638,0.163316583,0.502512563,0.497487437,45096.2007,0.115577889,0.994360295,1.061785714,0.930464286,-0.244221106,0.331658291,74830.0,75330,Single-pass membrane protein
Q9Y2R0,0.047169811,0.075471698,0.028301887,0.009433962,0.047169811,0.103773585,0.462264151,0.471698113,0.122641509,0.160377358,0.518867925,0.481132075,11731.1493,0.066037736,1.003800933,1.060797619,0.940559524,-0.496226415,0.245283019,9970.0,9970,Single-pass membrane protein
Q9H8M5,0.045714286,0.075428571,0.034285714,0.018285714,0.061714286,0.116571429,0.470857143,0.330285714,0.121142857,0.128,0.521142857,0.478857143,96622.1884,0.066285714,1.000793825,1.077619048,0.923690476,-0.142742857,0.308571429,61770.0,62770,Multi-pass membrane protein
Q9BVV7,0.028225806,0.068548387,0.044354839,0.02016129,0.064516129,0.068548387,0.455645161,0.443548387,0.096774194,0.189516129,0.564516129,0.435483871,28202.0856,0.100806452,1.002234658,1.076559524,0.935119048,-0.493951613,0.310483871,24870.0,25245,Single-pass membrane protein
O95436,0.036231884,0.034782609,0.055072464,0.008695652,0.082608696,0.120289855,0.37826087,0.257971014,0.071014493,0.094202899,0.482608696,0.517391304,75758.5432,0.089855072,0.988997255,1.086547619,0.919488095,0.434492754,0.372463768,91900.0,93650,Multi-pass membrane protein
Q9NZN1,0.051724138,0.081896552,0.030172414,0.021551724,0.070402299,0.104885057,0.524425287,0.354885057,0.13362069,0.139367816,0.545977011,0.454022989,79967.6959,0.100574713,0.999314532,1.067952381,0.927607143,-0.337212644,0.329022989,121130.0,122130,Single-pass membrane protein
P00846,0.004424779,0.013274336,0.039823009,0.026548673,0.128318584,0.194690265,0.300884956,0.225663717,0.017699115,0.07079646,0.402654867,0.597345133,24816.918,0.066371681,0.978013935,1.054380952,0.926857143,0.951769912,0.424778761,20970.0,20970,Multi-pass membrane protein
O95864,0.038288288,0.051801802,0.074324324,0.067567568,0.072072072,0.105855856,0.387387387,0.434684685,0.09009009,0.168918919,0.475225225,0.524774775,52258.688,0.153153153,0.989246606,1.061583333,0.926702381,-0.182207207,0.382882883,120320.0,120445,Multi-pass membrane protein
Q14500,0.060046189,0.076212471,0.057736721,0.027713626,0.066974596,0.085450346,0.47113164,0.3926097,0.136258661,0.138568129,0.505773672,0.494226328,49000.5247,0.094688222,0.995254127,1.069547619,0.923571429,-0.143648961,0.316397229,43890.0,44515,Multi-pass membrane protein
Q8NFY4,0.056849953,0.045666356,0.040074557,0.032618826,0.043802423,0.074557316,0.482758621,0.379310345,0.102516309,0.149114632,0.591798695,0.408201305,119870.8657,0.08387698,1.003483127,1.073380952,0.926535714,-0.476141659,0.269338304,102110.0,103485,Single-pass membrane protein
P48029,0.034645669,0.033070866,0.066141732,0.011023622,0.053543307,0.11496063,0.337007874,0.231496063,0.067716535,0.072440945,0.377952756,0.622047244,70521.9788,0.154330709,0.981328997,1.067309524,0.918547619,0.545354331,0.417322835,179680.0,181055,Multi-pass membrane protein
Q6UWB1,0.031446541,0.062893082,0.018867925,0.020440252,0.022012579,0.132075472,0.394654088,0.311320755,0.094339623,0.092767296,0.520440252,0.479559748,69472.9609,0.081761006,0.997867965,1.069166667,0.926154762,-0.128459119,0.309748428,179900.0,180900,Single-pass membrane protein
